Counter;Class
1;org.apache.tajo.datum.Int4Datum
1;org.apache.tajo.datum.Float4Datum
1;org.apache.tajo.client.TajoClientImpl
1;org.apache.syncope.core.spring..security.DefaultPasswordGenerator
1;org.apache.syncope.core.provisioning.utils.ConnObjectUtils
1;org.apache.syncope.core.provisioning.propagation.PriorityPropagationTaskExecutor
1;org.apache.syncope.core.provisioning.propagation.DefaultPropagationManager.java
1;org.apache.syncope.core.provisioning.propagation.DefaultPropagationManager
1;org.apache.syncope.core.provisioning.propagation..PriorityPropagationTaskExecutor.java
1;org.apache.syncope.core.persistence.jpa.validation.entity.GroupValidator
1;org.apache.syncope.core.persistence.jpa.attrvalue.validation.BinaryValidator
1;org.apache.storm.windowing.WindowManager
1;org.apache.storm.utils.WritableUtils
1;org.apache.storm.TopologyBuilderTest
1;org.apache.storm.topology.TopologyBuilder
1;org.apache.storm.topology.StatefulBoltExecutor
1;org.apache.storm.topology.BasicBoltExecutor
1;org.apache.storm.spout.CheckpointSpout
1;org.apache.storm.pacemaker.Pacemaker
1;org.apache.storm.NimbusTest
1;org.apache.storm.generated.TopologyInfo
1;org.apache.storm.dependency.DependencyUploader
1;org.apache.storm.daemon.nimbus.TopoCache
1;org.apache.RemovalTestUtil
1;org.apache.reflect.ReflectData
1;org.apache.opnejpa.kernel.AttachManager
1;org.apache.openjpa.util.ImplHelper
1;org.apache.openjpa.openjpa.lib.util.ClassUtil
1;org.apache.openjpa.openjpa.jdbc.identifier.QualifiedDBIdentifier
1;org.apache.openjpa.lib.util.StringUtil
1;org.apache.openjpa.lib.util.StringDistance
1;org.apache.openjpa.lib.util.SimpleRegex
1;org.apache.openjpa.lib.identifier.IdentifierUtilImpl
1;org.apache.openjpa.lib.graph.GraphTest
1;org.apache.openjpa.lib.graph.Graph
1;org.apache.openjpa.lib.graph.DepthFirstAnalysisTest
1;org.apache.openjpa.lib.graph.DepthFirstAnalysis
1;org.apache.openjpa.kernel.util.ArrayStateImage
1;org.apache.openjpa.kernel.conf.Specification
1;org.apache.openjpa.kernel.BrokerImpl
1;org.apache.openjpa.kernel.AttachManager
1;org.apache.openjpa.jdbc.sql.DBDictionary
1;org.apache.openjpa.jdbc.kernel.PreparedQueryCacheImpl
1;org.apache.openjpa.jdbc.kernel.NativeJDBCSeq
1;org.apache.openjpa.event.LifecycleEventManager
1;org.apache.jcs.JCSRemovalSimpleCuncurrentTest
1;org.apache.jcs.JCSRemovalSimpleConcurrentTest
1;org.apache.jcs.engine.memory.lru.LRUMemoryCacheConcuccrentUnitTest
1;org.apache.jcs.access.CacheAccess
1;org.apache.datum.TimeDatum
1;org.apache.datum.TextDatum
1;org.apache.bookkeeper.util.ZkUtils
1;org.apache.bookkeeper.util.StringUtils
1;org.apache.bookkeeper.util.IteratorUtility
1;org.apache.bookkeeper.util.HardLink
1;org.apache.bookkeeper.tls.BookieAuthZFactory
1;org.apache.bookkeeper.streaming.LedgerInputStream
1;org.apache.bookkeeper.server.client.LedgerHandle
1;org.apache.bookkeeper.server.bookie.EntryLogger
1;org.apache.bookkeeper.proto.BookieClient
1;org.apache.bookkeeper.net.MyNetworkTopologyImplTest
1;org.apache.bookkeeper.net.DNS
1;org.apache.bookkeeper.meta.MetadataDrivers
1;org.apache.bookkeeper.isw2tests.ServerConfigurationTest
1;org.apache.bookkeeper.isw2tests.FutureUtilsTest
1;org.apache.bookkeeper.examTests.LedgerHandleTest
1;org.apache.bookkeeper.examTests.DNSTest
1;org.apache.bookkeeper.discover.ZKRegistrationManager
1;org.apache.bookkeeper.common.component.LifecycleComponentStack
1;org.apache.bookkeeper.common.collections.BlockingMpscQueue
1;org.apache.bookkeeper.client.LedgerMetadataBuilder
1;org.apache.bookkeeper.client.LedgerHandleTest
1;org.apache.bookkeeper.client.LedgerHandle2Test
1;org.apache.bookkeeper.client.LedgerCreateOp
1;org.apache.bookkeeper.client.DefaultBookieAddressResolver
